Verilator Statistics Report

Information:
  Verilator 4.210 2021-07-07 rev v4.210
  Arguments: --cc --exe --top-module SimTop +define+VERILATOR=1 +define+PRINTF_COND=1 +define+RANDOMIZE_REG_INIT +define+RANDOMIZE_MEM_INIT +define+RANDOMIZE_GARBAGE_ASSIGN +define+RANDOMIZE_DELAY=31 +define+BENCHMARK=0 -I/home/ethan/Arch-Table/build/../vsrc --x-assign unique -O3 -CFLAGS -g -std=c++11 -static -Wall -I/home/ethan/Arch-Table/difftest/src/test/csrc -I/home/ethan/Arch-Table/difftest/src/test/csrc/common -I/home/ethan/Arch-Table/difftest/src/test/csrc/difftest -DVERILATOR -Wno-maybe-uninitialized  -DNUM_CORES=1 -LDFLAGS -lpthread -lSDL2 -ldl -lz --trace --assert --stats-vars --output-split 30000 --output-split-cfuncs 30000 --trace-fst --trace-structs --no-trace-params -y ../vsrc/ram -o /home/ethan/Arch-Table/build/emu -Mdir ../build/emu-compile ../build/../vsrc/SimTop.sv ./src/test/vsrc/common/assert.v ./src/test/vsrc/common/SimJTAG.v ./src/test/vsrc/common/ram.v ./src/test/vsrc/common/EICG_wrapper.v ./src/test/vsrc/common/ram.sv ./src/test/vsrc/common/difftest.v ./src/test/vsrc/common/ref.v /home/ethan/Arch-Table/difftest/src/test/csrc/difftest/spikedasm.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/difftest/difftest.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/difftest/goldenmem.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/difftest/interface.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/difftest/nemuproxy.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/difftest/ref.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/vcs/main.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/sdcard.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/remote_bitbang.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/ram.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/vga.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/keyboard.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/SimJTAG.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/device.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/uart.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/axi4.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/common.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/compress.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/flash.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/verilator/emu.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/verilator/snapshot.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/verilator/main.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/sdcard.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/remote_bitbang.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/ram.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/vga.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/keyboard.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/SimJTAG.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/device.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/uart.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/axi4.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/common.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/compress.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/common/flash.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/difftest/spikedasm.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/difftest/difftest.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/difftest/goldenmem.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/difftest/interface.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/difftest/nemuproxy.cpp /home/ethan/Arch-Table/difftest/src/test/csrc/difftest/ref.cpp

Global Statistics:

  Assertions, assert immediate statements                     0
  Assertions, assert non-immediate statements                 0
  Assertions, cover statements                                0
  Assertions, full/parallel case                              4
  ConstPool, Constants emitted                                0
  ConstPool, Tables emitted                                   1
  Optimizations, Cases complex                                4
  Optimizations, Cases parallelized                           7
  Optimizations, Clocker decomposed vectors                   0
  Optimizations, Clocker seen vectors                         0
  Optimizations, Combined CFuncs                              0
  Optimizations, Const bit op reduction                       6
  Optimizations, Const bit op reduction                       0
  Optimizations, Delayed shared-sets                          0
  Optimizations, Gate assign merged                          14
  Optimizations, Gate inputs replaced                       590
  Optimizations, Gate sigs deduped                            0
  Optimizations, Gate sigs deleted                          271
  Optimizations, Inline unsupported                           0
  Optimizations, Inlined instances                           25
  Optimizations, Lifetime assign deletions                   32
  Optimizations, Lifetime constant prop                       0
  Optimizations, Lifetime postassign deletions                9
  Optimizations, MergeCond longest merge                      5
  Optimizations, MergeCond merged items                      20
  Optimizations, MergeCond merges                             4
  Optimizations, Prelim extracted value to ConstPool          0
  Optimizations, Reloop iterations                            0
  Optimizations, Reloops                                      0
  Optimizations, Split always                                10
  Optimizations, Split always                                 0
  Optimizations, Substituted temps                         2343
  Optimizations, Tables created                               1
  Optimizations, Unrolled Iterations                         42
  Optimizations, Unrolled Loops                               3
  Optimizations, Vars localized                              13
  Optimizations, expand limited                               0
  Optimizations, expand wide words                         2593
  Optimizations, expand wides                               141
  Optimizations, isolate_assignments blocks                   0
  SplitVar, Split packed variables                            0
  SplitVar, Split unpacked arrays                             0
  Tracing, Ignored signals                                    9
  Tracing, Traced signals                                   292
  Tracing, Unique changing signals                            0
  Tracing, Unique trace codes                               345
  Tracing, Unique traced signals                            202
  Tristate, Tristate resolved nets                            0
  Unknowns, variables created                                 9
  Unrolling gave up, no initial assignment                    1
  Warnings, Suppressed ASSIGNDLY                              6
  Warnings, Suppressed DECLFILENAME                           5
  Warnings, Suppressed EOFNEWLINE                             7
  Warnings, Suppressed IMPORTSTAR                             1
  Warnings, Suppressed UNUSED                                19
  Warnings, Suppressed WIDTH                                  7

Performance Statistics:

  Stage, Elapsed time (sec), 001_cells                 0.000000
  Stage, Elapsed time (sec), 002_linkparse             0.000606
  Stage, Elapsed time (sec), 003_linkdot               0.000989
  Stage, Elapsed time (sec), 004_linkresolve           0.000117
  Stage, Elapsed time (sec), 005_linklvalue            0.000057
  Stage, Elapsed time (sec), 006_link                  0.000043
  Stage, Elapsed time (sec), 007_linkInc               0.000058
  Stage, Elapsed time (sec), 008_param                 0.000585
  Stage, Elapsed time (sec), 009_paramlink             0.000372
  Stage, Elapsed time (sec), 010_deadModules           0.000107
  Stage, Elapsed time (sec), 011_width                 0.000645
  Stage, Elapsed time (sec), 012_widthcommit           0.000145
  Stage, Elapsed time (sec), 013_const                 0.000066
  Stage, Elapsed time (sec), 014_assertpre             0.000273
  Stage, Elapsed time (sec), 015_assert                0.000091
  Stage, Elapsed time (sec), 016_wraptop               0.000011
  Stage, Elapsed time (sec), 017_const                 0.000190
  Stage, Elapsed time (sec), 018_split_var             0.000102
  Stage, Elapsed time (sec), 019_split_var             0.000012
  Stage, Elapsed time (sec), 020_dearray               0.000048
  Stage, Elapsed time (sec), 021_linkdot               0.000393
  Stage, Elapsed time (sec), 022_begin                 0.000115
  Stage, Elapsed time (sec), 023_tristate              0.000185
  Stage, Elapsed time (sec), 024_unknown               0.000145
  Stage, Elapsed time (sec), 025_inline                0.001386
  Stage, Elapsed time (sec), 026_linkdot               0.000434
  Stage, Elapsed time (sec), 027_const                 0.000081
  Stage, Elapsed time (sec), 028_deadDtypes            0.000118
  Stage, Elapsed time (sec), 029_inst                  0.000015
  Stage, Elapsed time (sec), 030_const                 0.000049
  Stage, Elapsed time (sec), 031_scope                 0.000808
  Stage, Elapsed time (sec), 032_linkdot               0.000310
  Stage, Elapsed time (sec), 033_class                 0.000022
  Stage, Elapsed time (sec), 034_const                 0.000091
  Stage, Elapsed time (sec), 035_deadDtypesScoped      0.000110
  Stage, Elapsed time (sec), 036_case                  0.000238
  Stage, Elapsed time (sec), 037_task                  0.000484
  Stage, Elapsed time (sec), 038_name                  0.000151
  Stage, Elapsed time (sec), 039_unroll                0.000250
  Stage, Elapsed time (sec), 040_slice                 0.000072
  Stage, Elapsed time (sec), 041_const                 0.000198
  Stage, Elapsed time (sec), 042_life                  0.000079
  Stage, Elapsed time (sec), 043_table                 0.000490
  Stage, Elapsed time (sec), 044_const                 0.000077
  Stage, Elapsed time (sec), 045_deadDtypesScoped      0.000144
  Stage, Elapsed time (sec), 046_active                0.000080
  Stage, Elapsed time (sec), 047_split                 0.000334
  Stage, Elapsed time (sec), 048_splitas               0.000060
  Stage, Elapsed time (sec), 049_tracedecl             0.000427
  Stage, Elapsed time (sec), 050_gate                  0.000887
  Stage, Elapsed time (sec), 051_const                 0.000109
  Stage, Elapsed time (sec), 052_deadAllScoped         0.000207
  Stage, Elapsed time (sec), 053_reorder               0.000327
  Stage, Elapsed time (sec), 054_delayed               0.000103
  Stage, Elapsed time (sec), 055_activetop             0.000185
  Stage, Elapsed time (sec), 056_order                 0.000997
  Stage, Elapsed time (sec), 057_genclk                0.000111
  Stage, Elapsed time (sec), 058_clock                 0.000088
  Stage, Elapsed time (sec), 059_const                 0.000106
  Stage, Elapsed time (sec), 060_life                  0.000133
  Stage, Elapsed time (sec), 061_life_post             0.000166
  Stage, Elapsed time (sec), 062_const                 0.000103
  Stage, Elapsed time (sec), 063_deadAllScoped         0.000159
  Stage, Elapsed time (sec), 064_changed               0.000041
  Stage, Elapsed time (sec), 065_trace                 0.000709
  Stage, Elapsed time (sec), 066_localize              0.000676
  Stage, Elapsed time (sec), 067_descope               0.000144
  Stage, Elapsed time (sec), 068_combine               0.000189
  Stage, Elapsed time (sec), 069_const                 0.000109
  Stage, Elapsed time (sec), 070_deadAll               0.000125
  Stage, Elapsed time (sec), 071_clean                 0.000249
  Stage, Elapsed time (sec), 072_premit                0.000185
  Stage, Elapsed time (sec), 073_expand                0.003166
  Stage, Elapsed time (sec), 074_const_cpp             0.001605
  Stage, Elapsed time (sec), 075_subst                 0.002291
  Stage, Elapsed time (sec), 076_const_cpp             0.000401
  Stage, Elapsed time (sec), 077_deadAll               0.000300
  Stage, Elapsed time (sec), 078_merge_cond            0.000076
  Stage, Elapsed time (sec), 079_reloop                0.000056
  Stage, Elapsed time (sec), 080_depth                 0.000144
  Stage, Elapsed time (sec), 081_cast                  0.000353
  Stage, Elapsed time (sec), 082_cuse                  0.000174
  Stage, Memory (MB), 001_cells                        8.503906
  Stage, Memory (MB), 002_linkparse                    8.585938
  Stage, Memory (MB), 003_linkdot                      8.843750
  Stage, Memory (MB), 004_linkresolve                  8.843750
  Stage, Memory (MB), 005_linklvalue                   8.843750
  Stage, Memory (MB), 006_link                         8.843750
  Stage, Memory (MB), 007_linkInc                      8.843750
  Stage, Memory (MB), 008_param                        9.492188
  Stage, Memory (MB), 009_paramlink                    9.492188
  Stage, Memory (MB), 010_deadModules                  9.492188
  Stage, Memory (MB), 011_width                        9.492188
  Stage, Memory (MB), 012_widthcommit                  9.492188
  Stage, Memory (MB), 013_const                        9.492188
  Stage, Memory (MB), 014_assertpre                    9.492188
  Stage, Memory (MB), 015_assert                       9.492188
  Stage, Memory (MB), 016_wraptop                      9.492188
  Stage, Memory (MB), 017_const                        9.492188
  Stage, Memory (MB), 018_split_var                    9.492188
  Stage, Memory (MB), 019_split_var                    9.492188
  Stage, Memory (MB), 020_dearray                      9.492188
  Stage, Memory (MB), 021_linkdot                      9.492188
  Stage, Memory (MB), 022_begin                        9.492188
  Stage, Memory (MB), 023_tristate                     9.492188
  Stage, Memory (MB), 024_unknown                      9.492188
  Stage, Memory (MB), 025_inline                      10.910156
  Stage, Memory (MB), 026_linkdot                     10.910156
  Stage, Memory (MB), 027_const                       10.910156
  Stage, Memory (MB), 028_deadDtypes                  10.910156
  Stage, Memory (MB), 029_inst                        10.910156
  Stage, Memory (MB), 030_const                       10.910156
  Stage, Memory (MB), 031_scope                       10.910156
  Stage, Memory (MB), 032_linkdot                     10.910156
  Stage, Memory (MB), 033_class                       10.910156
  Stage, Memory (MB), 034_const                       10.910156
  Stage, Memory (MB), 035_deadDtypesScoped            10.910156
  Stage, Memory (MB), 036_case                        10.910156
  Stage, Memory (MB), 037_task                        10.910156
